#G50
90052,汉鄂互通,5.13
8704,葛店,5.44
90059,黄鄂汉鄂交接点,3.58
8705,华蒲,11.10
8706,鄂州西,11.21
8707,鄂州中,8.54
8708,鄂州东,9.76
90040,大广南互通,0.00
90049,大广南起点,11.40
2011,黄石西,10.38
2012,大冶,3.84
90054,大冶枢纽互通,8.93
2013,殷祖,18.11
2014,三溪,12.56
90050,星潭互通,14.58
2015,龙港,14.08
2016,洪港,13.22
2017,鄂赣,0.00
END
#S7E2
8701,龚家岭,8.82
90038,邹黄互通,5.51
8702,白浒山,5.09
8703,新桥,0.49
90052,汉鄂互通,5.13
8704,葛店,5.44
90059,黄鄂汉鄂交接点,3.58
8705,华蒲,11.10
8706,鄂州西,11.21
8707,鄂州中,8.54
8708,鄂州东,9.76
90040,大广南互通,2.38
90041,花湖互通,0.508
90042,鄂东桥南虚拟点,5.886
90043,鄂东桥北虚拟点,0.933
90044,大广北互通,3.223
90045,散花互通,29.272
10507,蕲春,21.521
90085,武穴枢纽,8.275
10506,武穴,11.136
10505,花桥,17.626
10504,黄梅,19.758
10503,界子墩,0
END
#G45
2001,黄冈北,18.85
2010,乘马岗,14.76
90037,麻城枢纽,4.05
2002,麻城,13.79
2003,铁门,17.90
2004,新洲,16.49
90033,淋山河枢纽,5.66
2005,团风,12.08
90062,黄鄂大广交界点,1.71
2006,黄州,14.64
2007,巴河,14.08
2008,兰溪,13.12
2009,散花,1.12
90044,大广北互通,0.93
END
#S74
3530,分盐,11.27
3531,监利北,22.26
3532,汪桥,16.15
90108,江陵东枢纽,10.53
3533,江陵,7.59
3534,江陵北,1.33
90109,监江终点,0.00
END
#S78
90040,大广南互通,0.00
90049,大广南起点,11.40
2011,黄石西,10.38
2012,大冶,3.84
90054,大冶枢纽互通,11.39
20201,陈贵,5.71
20202,灵乡,7.72
20203,金牛,8.33
90055,大冶咸宁交接点,10.24
20204,双溪,12.58
13023,咸宁东,7.34
13024,张公,5.16
90057,咸通京珠交界,10.55
20210,向阳湖,13.94
90101,嘉鱼枢纽,3.701
20209,嘉鱼北,0.797
90093,城市圈咸宁西起点,0
END
#S8
90005,豹懈枢纽,2.26
10526,豹獬,13.84
10527,武东,0.00
END
#S89
90067,宣恩枢纽,12.52
10576,晓关,27.81
10577,咸丰东,17.05
10578,咸丰西,14.18
10579,朝阳寺,0.00
END
#S1
8101,府河,2.81
8102,刘店,7.26
90012,桃园枢纽,2.62
8103,乔店,5.11
90014,陵园交点,0.949
8104,陵园,0.00
END
#S1L1
90013,黄陂枢纽,5.848
8105,黄陂,0
END
